Name,rank
BILKENT UNIVERSITY,412
KAZAKH NATIONAL TECHNICAL UNIVERSITY AFTER K.I.SATPAYEV    ,413
NATIONAL CENTRAL UNIVERSITY,414
"NATIONAL RESEARCH UNIVERSITY HIGHER SCHOOL OF ECONOMICS |HSE, MOSCOW",415
PETER THE GREAT ST.PETERSBURG POLYTECHNIC UNIVERSITY,416
SOGANG UNIVERSITY,417
UNITED ARAB EMIRATES UNIVERSITY,418
UNIVERSITÃ„T MANNHEIM,419
UNIVERSITÃ‰ AIX-MARSEILLE,420
UNIVERSITY OF DELAWARE,421
UNIVERSITY OF OULU,422
UNIVERSITY OF UTAH,423
CHRISTIAN-ALBRECHTS-UNIVERSITÃ„T ZU KIEL,424
"GOLDSMITHS, UNIVERSITY OF LONDON",425
INSTITUT NATIONAL DES SCIENCES APPLIQUÃ‰ES DE LYON |INSA,426
IOWA STATE UNIVERSITY,427
JULIUS-MAXIMILIANS-UNIVERSITÃ„T WÃœRZBURG,428
RENMIN |PEOPLEâ€™S UNIVERSITY OF CHINA,429
UNIVERSITY OF CONNECTICUT,430
BEIHANG UNIVERSITY,431
FLORIDA STATE UNIVERSITY,432
HUFS â€“ HANKUK |KOREA UNIVERSITY OF FOREIGN STUDIES,433
JAGIELLONIAN UNIVERSITY,434
PONTIFICIA UNIVERSIDAD JAVERIANA,435
SHARIF UNIVERSITY OF TECHNOLOGY,436
SINGAPORE MANAGEMENT UNIVERSITY,437
TARAS SHEVCHENKO NATIONAL UNIVERSITY OF KYIV,438
THE UNIVERSITY OF GEORGIA,439
UNIVERSIDAD POLITECNICA DE VALENCIA,440
UNIVERSITÃ€ DI PISA,441
AMERICAN UNIVERSITY OF SHARJAH,442
AUCKLAND UNIVERSITY OF TECHNOLOGY ,443
CHANG GUNG UNIVERSITY,444
DONGGUK UNIVERSITY ,445
HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,446
SABANCI UNIVERSITY,447
SWINBURNE UNIVERSITY OF TECHNOLOGY,448
UNIVERSIDAD DE PALERMO,449
UNIVERSITÃ€ DEGLI STUDI DI TRENTO,450
UNIVERSITÃ„T BREMEN,451
"UNIVERSITY OF MARYLAND, BALTIMORE COUNTY",452
KOÃ‡ UNIVERSITY ,453
OREGON STATE UNIVERSITY,454
PUSAN NATIONAL UNIVERSITY,455
RUHR-UNIVERSITÃ„T BOCHUM,456
SHANGHAI UNIVERSITY,457
SULTAN QABOOS UNIVERSITY,458
UNIVERSITÃ€ DEGLI STUDI DI FIRENZE |UNIFI,459
UNIVERSITY OF COIMBRA,460
XIAMEN UNIVERSITY,461
YORK UNIVERSITY,462
ARABIAN GULF UNIVERSITY,463
BOND UNIVERSITY,464
CONCORDIA UNIVERSITY,465
KARL-FRANZENS-UNIVERSITÃ„T GRAZ,466
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,467
UNIVERSITÃ‰ PAUL SABATIER TOULOUSE III,468
UNIVERSITY OF NEW MEXICO,469
UNIVERSITY OF OKLAHOMA,470
UNIVERSITY OF TENNESSEE,471
WAYNE STATE UNIVERSITY,472
BOGAZIÃ‡I ÃœNIVERSITESI,473
CLARK UNIVERSITY,474
EAST CHINA UNIVERSITY OF SCIENCE AND TECHNOLOGY,475
MIDDLE EAST TECHNICAL UNIVERSITY,476
TECHNISCHE UNIVERSITÃ„T BRAUNSCHWEIG,477
TOKYO METROPOLITAN UNIVERSITY,478
UNIVERSIDAD DE COSTA RICA,479
UNIVERSIDAD DE SANTIAGO DE CHILE |USACH,480
UNIVERSITY OF SASKATCHEWAN,481
DALIAN UNIVERSITY OF TECHNOLOGY,482
HITOTSUBASHI UNIVERSITY,483
INDIAN INSTITUTE OF TECHNOLOGY GUWAHATI |IITG,484
LEHIGH UNIVERSITY,485
PONTIFICIA UNIVERSIDAD CATÃ“LICA DEL PERÃ_,486
TIANJIN UNIVERSITY,487
UNIVERSIDAD DE ZARAGOZA,488
UNIVERSITÃ€ DEGLI STUDI DI NAPOLI FEDERICO II,489
UNIVERSITÃÅ DEGLI STUDI DI ROMA - TOR VERGATA,490
VILNIUS UNIVERSITY ,491
ABERYSTWYTH UNIVERSITY,492
ARISTOTLE UNIVERSITY OF THESSALONIKI,493
IRAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,494
JILIN UNIVERSITY,495
THE CATHOLIC UNIVERSITY OF KOREA ,496
UNIVERSITÃ€ CATTOLICA DEL SACRO CUORE,497
UNIVERSITÃ‰ SAINT-JOSEPH DE BEYROUTH,498
UNIVERSITY OF NEBRASKA,499
UNIVERSITY OF SOUTH FLORIDA,500
YOKOHAMA CITY UNIVERSITY,501
ABO AKADEMI UNIVERSITY,502
AMIRKABIR UNIVERSITY OF TECHNOLOGY,503
ATENEO DE MANILA UNIVERSITY,504
CHONBUK NATIONAL UNIVERSITY,505
CITY UNIVERSITY OF NEW YORK,506
CZECH TECHNICAL UNIVERSITY IN PRAGUE,507
DREXEL UNIVERSITY,508
INSTITUTO TECNOLÃ“GICO DE BUENOS AIRES |ITBA,509
KAZAKH NATIONAL PEDAGOGICAL UNIVERSITY ABAI,510
KAZAN FEDERAL UNIVERSITY,511
KING KHALID UNIVERSITY,512
"KINGSTON UNIVERSITY, LONDON",513
MARTIN-LUTHER-UNIVERSITÃ„T HALLE-WITTENBERG,514
MICHIGAN TECHNOLOGICAL UNIVERSITY,515
MISSOURI UNIVERSITY OF SCIENCE AND TECHNOLOGY,516
MURDOCH UNIVERSITY,517
NAGASAKI UNIVERSITY,518
NATIONAL CHUNG HSING UNIVERSITY,519
NATIONAL UNIVERSITY OF SCIENCES AND TECHNOLOGY |NUST ISLAMABAD,520
OKAYAMA UNIVERSITY,521
PONTIFICIA UNIVERSIDADE CATÃ“LICA DE SÃƒO PAULO |PUC-SP,522
PONTIFICIA UNIVERSIDADE CATÃ“LICA DO RIO DE JANEIRO - PUC - RIO,523
SEJONG UNIVERSITY ,524
SHANDONG UNIVERSITY,525
SOUTHEAST UNIVERSITY,526
TULANE UNIVERSITY,527
UMM AL-QURA UNIVERSITY |UQU,528
UNIVERSIDAD DE GRANADA,529
UNIVERSIDAD DE SAN ANDRÃ‰S,530
UNIVERSIDADE ESTADUAL PAULISTA JÃ_LIO DE MESQUITA FILHO|NIVERSIDADE ESTADUAL PAU,531
UNIVERSIDADE FEDERAL DE SÃƒO PAULO |UNIFESP,532
UNIVERSITAS GADJAH MADA,533
UNIVERSITÃ„T BAYREUTH,534
UNIVERSITÃ„T DES SAARLANDES,535
UNIVERSITÃ„T LEIPZIG,536
UNIVERSITÃ„T REGENSBURG,537
UNIVERSITÃ‰ CLAUDE BERNARD LYON 1,538
UNIVERSITÃ‰ DE BORDEAUX,539
